epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37418,2.02424,3.82453,1.37951,0.01488,0.72792,0.03049,0.01509,1.62647,3.70469,1.02031,0.00025722,0.00025722,0.00025722
2,9.39044,1.76151,3.47902,1.15793,0.01532,0.73177,0.1043,0.0513,1.64364,3.63499,1.04077,0.000523496,0.000523496,0.000523496
