epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,136.876,1.02389,0.77525,1.1193,0.91354,0.90518,0.95876,0.6982,0.98308,0.64124,1.07049,0.000848969,0.000848969,0.000848969
43,139.944,1.05419,0.76578,1.12133,0.92725,0.90181,0.9538,0.71241,0.93714,0.64516,1.06059,0.000834822,0.000834822,0.000834822
44,143.066,1.05898,0.7645,1.12967,0.88339,0.90854,0.95447,0.71426,0.95266,0.663,1.07446,0.000820675,0.000820675,0.000820675
45,146.232,1.04114,0.76852,1.12611,0.89054,0.87734,0.93737,0.6876,0.95458,0.65965,1.07254,0.000806528,0.000806528,0.000806528
46,149.381,1.06409,0.74546,1.13807,0.92441,0.93586,0.96375,0.72659,0.89753,0.58877,1.03838,0.00079238,0.00079238,0.00079238
47,152.494,1.02634,0.73341,1.11668,0.90145,0.93238,0.9627,0.725,0.9296,0.58778,1.04488,0.000778233,0.000778233,0.000778233
48,155.742,0.99529,0.71518,1.09633,0.91692,0.92825,0.96294,0.74007,0.86414,0.56698,1.03283,0.000764086,0.000764086,0.000764086
49,158.902,0.99358,0.71873,1.10698,0.90849,0.94018,0.96441,0.73444,0.87516,0.54819,1.02609,0.000749939,0.000749939,0.000749939
50,161.995,1.02219,0.73913,1.11749,0.9263,0.88228,0.95426,0.72917,0.88364,0.57285,1.02065,0.000735792,0.000735792,0.000735792
51,165.024,0.97801,0.7311,1.08181,0.86357,0.90956,0.94447,0.72742,0.86274,0.59511,1.01436,0.000721645,0.000721645,0.000721645
52,168.095,0.98641,0.71391,1.10499,0.86343,0.89418,0.92454,0.69428,0.92818,0.62461,1.04755,0.000707498,0.000707498,0.000707498
53,171.206,0.99808,0.72316,1.09825,0.92343,0.91473,0.96146,0.72916,0.88258,0.55437,1.0356,0.000693351,0.000693351,0.000693351
54,174.345,1.00438,0.71138,1.11047,0.9305,0.93572,0.96844,0.74452,0.85946,0.52976,1.01661,0.000679204,0.000679204,0.000679204
55,177.356,0.97699,0.71851,1.09387,0.92255,0.93179,0.97006,0.76855,0.82195,0.51653,0.99404,0.000665057,0.000665057,0.000665057
56,180.371,0.96275,0.68909,1.085,0.92814,0.93317,0.96993,0.75985,0.82194,0.53505,0.98646,0.000650909,0.000650909,0.000650909
57,183.401,0.94789,0.65437,1.07849,0.90523,0.93554,0.96812,0.76047,0.82288,0.5231,0.98466,0.000636762,0.000636762,0.000636762
58,186.452,0.9137,0.64435,1.06247,0.89719,0.92538,0.96136,0.75539,0.81121,0.53061,0.99474,0.000622615,0.000622615,0.000622615
59,189.478,0.95717,0.68151,1.097,0.92085,0.95809,0.97339,0.76917,0.78133,0.5073,0.97031,0.000608468,0.000608468,0.000608468
60,192.632,0.94066,0.66563,1.07371,0.90841,0.91451,0.96114,0.75515,0.82053,0.5629,0.9851,0.000594321,0.000594321,0.000594321
61,195.696,0.96007,0.67494,1.07079,0.92491,0.9051,0.96247,0.74176,0.84368,0.55203,1.00584,0.000580174,0.000580174,0.000580174
62,198.757,0.96183,0.66432,1.08562,0.93104,0.95264,0.97683,0.77841,0.77594,0.48049,0.97994,0.000566027,0.000566027,0.000566027
